id|heroId|heroQuality|seq|propId|equipRank
Int|Int|Int|Int|Int|Int
1|5001|10|1|200001|1
2|5001|10|2|200002|1
3|5001|10|3|200003|1
4|5001|10|4|200004|1
5|5001|20|1|200005|5
6|5001|20|2|200006|5
7|5001|20|3|200007|5
8|5001|20|4|200008|5
9|5001|21|1|200001|10
10|5001|21|2|200002|10
11|5001|21|3|200003|10
12|5001|21|4|200004|10
13|5001|30|1|200005|20
14|5001|30|2|200006|20
15|5001|30|3|200007|20
16|5001|30|4|200008|20
17|5001|31|1|200001|25
18|5001|31|2|200002|25
19|5001|31|3|200003|25
20|5001|31|4|200004|25
21|5001|32|1|200005|30
22|5001|32|2|200006|30
23|5001|32|3|200007|30
24|5001|32|4|200008|30
25|5001|40|1|200001|40
26|5001|40|2|200002|40
27|5001|40|3|200003|40
28|5001|40|4|200004|40
29|5001|41|1|200005|45
30|5001|41|2|200006|45
31|5001|41|3|200007|45
32|5001|41|4|200008|45
33|5001|42|1|200001|50
34|5001|42|2|200002|50
35|5001|42|3|200003|50
36|5001|42|4|200004|50
37|5001|43|1|200005|55
38|5001|43|2|200006|55
39|5001|43|3|200007|55
40|5001|43|4|200008|55
